area,original_semantics,corpus_evidence,purelottie_model,purelottie_import,target,status,required_validation
Composition timing,"Root ip inclusive, op exclusive, fr converts frames to seconds.","857 files","LottieAnimation decodes fr/ip/op/w/h/layers/assets.","ImportContext duration uses (op - ip) / fr.","LottieScene.duration and Timing",lowered,"Unit tests for op exclusivity and source frame selection."
Root size and clipping,"Root composition defines viewport and clips to w x h.","857 files","width and height decoded.","Root layer bounds and masksToBounds set.","Layer.bounds and masksToBounds",lowered,"Pixel test with content outside bounds."
Layer order,"Lottie lists top layer first; compositor draws bottom to top.","16931 layer records","LottieLayer preserves input order.","Importer walks layers.reversed().","Layer.addSublayer order",lowered,"Overlapping opaque layer reference fixture."
Layer visibility,"Layer visible when ip <= frame < op.","16928 ip keys; 16931 op keys","inPoint and outPoint decoded; LottieEvaluation exposes half-open frame-window checks.","visibilityWindow gates opacity.","opacity animation",approx,"Boundary tests at ip, op - 1, op."
Hidden layers,"hd hides normal rendering but hidden layers can contribute as parents or mattes.","204 layer hd keys","isHidden decoded.","Binding preserves hidden parent/matte references before normal rendering skips hidden layers.","Layer omission plus binding graph",reported,"Parent and matte fixtures where hidden source is semantically active."
Parent transforms,"Child CTM = CTM(parent) * Transform(child), transitively.","5842 parent keys","parent and index decoded.","Wraps child in parent holder layers.","Nested Layer transforms",approx,"Matrix oracle tests for parent chains."
2D layer transform,"Apply -anchor, scale, skew, rotation, position.","16900 anchors; 16929 positions; 16454 scales; 16329 rotations","Anchor, position including split z, scale, rotation, opacity decoded; LottieTransformEvaluator emits source-frame row-vector matrices and composes parent chains, including hidden parents.","Importer consumes evaluated transform state for anchor, position, z, scale, and rotation before assigning PureLayer fields; animated components still lower to PureLayer key paths.","Layer anchorPoint, anchorPointZ, position, zPosition, transform, and animations",approx,"Matrix comparison against lottie-web for static and animated transform cases."
Skew transform,"sk and sa skew around axis between scale and rotation.","136 layer sk; 137 layer sa; 23555 shape sk/sa","Layer sk/sa decoded; transform evaluator emits structured unsupported-skew diagnostics; shape transform skew remains a gap.","Default validation rejects/report-blocks skew before lowering; importer does not silently lower it.","Affine transform with skew",reported,"Layer model fields, semantic diagnostic tests, and shape skew model/report work."
3D layer transform,"rx/ry/rz/or produce 3D orientation.","103 rx; 103 ry; 103 rz; 101 or","Layer ddd, rx, ry, rz, and or decoded; transform evaluator emits structured unsupported-3D diagnostics.","Default validation rejects/report-blocks 3D transforms before lowering; importer does not silently lower them.","PureLayer 2.5D transform or report",reported,"Model fields, semantic diagnostic tests, and PureLayer 2.5D lowering fixtures."
Auto orient,"ao rotates layer along motion path tangent.","14262 ao keys","autoOrient decoded; transform evaluator emits structured unsupported-auto-orient diagnostics.","Default validation rejects/report-blocks auto-orient before lowering.","Derived rotation animation",reported,"Motion-path fixture with tangent orientation."
Blend modes,"bm maps to CSS compositing blend modes.","14621 layer bm plus shape bm keys","Layer bm is not decoded; fill/stroke style bm is decoded.","Non-zero fill/stroke blend modes are reported during lowering; layer blend remains a gap.","PureLayer compositing/filter support or report",gap,"Blend-mode fixtures and ImportReport assertions."
Solid layers,"ty 1 solid rectangle with sw/sh/sc.","759","Solid fields decoded.","Creates Layer with bounds and backgroundColor.","Layer.backgroundColor",lowered,"Solid color/bounds pixel test."
Null layers,"ty 3 transform carrier without pixels.","576","Decoded as null.","Creates transparent layer.","Empty Layer",approx,"Null parent matrix tests."
